No.,Time,Source,Destination,Protocol,Length
1,2025-04-10 15:19:11.417217,192.168.29.73,52.178.17.233,TCP,54
2,2025-04-10 15:19:11.556284,20.189.173.5,192.168.29.73,TCP,1514
3,2025-04-10 15:19:11.556284,20.189.173.5,192.168.29.73,TCP,1514
4,2025-04-10 15:19:11.556284,20.189.173.5,192.168.29.73,TCP,1514
5,2025-04-10 15:19:11.556284,20.189.173.5,192.168.29.73,TCP,205
6,2025-04-10 15:19:11.556336,192.168.29.73,20.189.173.5,TCP,54
7,2025-04-10 15:19:11.558694,192.168.29.73,20.189.173.5,TCP,1494
8,2025-04-10 15:19:11.558694,192.168.29.73,20.189.173.5,TCP,1494
9,2025-04-10 15:19:11.558694,192.168.29.73,20.189.173.5,TCP,1494
10,2025-04-10 15:19:11.558694,192.168.29.73,20.189.173.5,TCP,735
11,2025-04-10 15:19:11.571535,52.178.17.233,192.168.29.73,TCP,334
12,2025-04-10 15:19:11.618226,192.168.29.73,52.178.17.233,TCP,54
13,2025-04-10 15:19:11.841874,20.189.173.5,192.168.29.73,TCP,54
14,2025-04-10 15:19:11.841874,20.189.173.5,192.168.29.73,TCP,54
15,2025-04-10 15:19:11.883148,20.189.173.5,192.168.29.73,TCP,157
16,2025-04-10 15:19:11.923790,192.168.29.73,20.189.173.5,TCP,54
17,2025-04-10 15:19:12.019712,20.189.173.5,192.168.29.73,TCP,518
18,2025-04-10 15:19:12.019767,192.168.29.73,20.189.173.5,TCP,54
19,2025-04-10 15:19:12.020175,192.168.29.73,20.189.173.5,TCP,78
20,2025-04-10 15:19:12.020276,192.168.29.73,20.189.173.5,TCP,54
21,2025-04-10 15:19:12.298747,20.189.173.5,192.168.29.73,TCP,54
22,2025-04-10 15:19:13.143703,192.168.29.73,35.174.127.31,TCP,295
23,2025-04-10 15:19:13.373996,192.168.29.73,52.178.17.233,TCP,54
24,2025-04-10 15:19:13.514026,35.174.127.31,192.168.29.73,TCP,317
25,2025-04-10 15:19:13.563343,192.168.29.73,35.174.127.31,TCP,54
26,2025-04-10 15:19:13.582421,52.178.17.233,192.168.29.73,TCP,54
27,2025-04-10 15:19:13.582456,192.168.29.73,52.178.17.233,TCP,54
28,2025-04-10 15:19:13.586395,N/A,N/A,TCP,86
29,2025-04-10 15:19:13.590260,N/A,N/A,TCP,86
30,2025-04-10 15:19:13.590321,N/A,N/A,TCP,74
31,2025-04-10 15:19:13.590780,N/A,N/A,TCP,1418
32,2025-04-10 15:19:13.590780,N/A,N/A,TCP,782
33,2025-04-10 15:19:13.598854,N/A,N/A,TCP,344
34,2025-04-10 15:19:13.599307,N/A,N/A,TCP,154
35,2025-04-10 15:19:13.599562,N/A,N/A,TCP,883
36,2025-04-10 15:19:13.606593,N/A,N/A,TCP,74
37,2025-04-10 15:19:13.606593,N/A,N/A,TCP,74
38,2025-04-10 15:19:13.611231,N/A,N/A,TCP,377
39,2025-04-10 15:19:13.663643,N/A,N/A,TCP,74
40,2025-04-10 15:19:13.680422,N/A,N/A,TCP,1514
41,2025-04-10 15:19:13.680422,N/A,N/A,TCP,1514
42,2025-04-10 15:19:13.680422,N/A,N/A,TCP,1514
43,2025-04-10 15:19:13.680422,N/A,N/A,TCP,1514
44,2025-04-10 15:19:13.680422,N/A,N/A,TCP,1514
45,2025-04-10 15:19:13.680469,N/A,N/A,TCP,74
46,2025-04-10 15:19:13.682557,N/A,N/A,TCP,8714
47,2025-04-10 15:19:13.682557,N/A,N/A,TCP,640
48,2025-04-10 15:19:13.682557,N/A,N/A,TCP,13034
49,2025-04-10 15:19:13.682617,N/A,N/A,TCP,74
50,2025-04-10 15:19:13.682706,N/A,N/A,TCP,2954
51,2025-04-10 15:19:13.682706,N/A,N/A,TCP,640
52,2025-04-10 15:19:13.682706,N/A,N/A,TCP,18794
53,2025-04-10 15:19:13.682706,N/A,N/A,TCP,1032
54,2025-04-10 15:19:13.682706,N/A,N/A,TCP,1514
55,2025-04-10 15:19:13.682740,N/A,N/A,TCP,74
56,2025-04-10 15:19:13.682862,N/A,N/A,TCP,5834
57,2025-04-10 15:19:13.682875,N/A,N/A,TCP,74
58,2025-04-10 15:19:13.682898,N/A,N/A,TCP,5834
59,2025-04-10 15:19:13.682905,N/A,N/A,TCP,74
60,2025-04-10 15:19:13.688725,N/A,N/A,TCP,1514
61,2025-04-10 15:19:13.688725,N/A,N/A,TCP,1514
62,2025-04-10 15:19:13.688759,N/A,N/A,TCP,74
